Sentimen,Teks
1,"Tunggu.Mega ingin capres.Jokowi tetap gub.""@PDIP_Online: PDIP Projo: Jalan Sudah Mulus, Deklarasikan Jokowi Sebelum Pileg"
1,"RT @sipandu: >> ""Merinding pak setiap baca berita soal jokowi. Mudah2an beliau mau maju jadi capres"" jokowi bukan milik jawa lagi indeed."
-1,Ini alasan gue ntar kalo mau pilih presiden Prabowo : Pilih wiranto : worasah roma : ra usah
-1,"Kalo kata om FARHat: brni sumpah pocong? ""@kompascom: #HeadlineNews Wartawan Bule Tanya soal Capres, Jokowi Jawab Enggak ""Mikir"""
1,"Se7, sebagai Presiden Jokowi bisa berbuat lebih banyak lagi, termasuk untuk Jakarta @hantayuda @danimulyana"
1,"RT @HenryBarus1: RT""@alljet99: @jokowi_do2 @Jokowi_RI @Jokowi2014 @Jokowi_Presiden #jokowi Ayo dukung Tim Sukses Gratis jokowi for RI-1 201..."
-1,"RT @RustamIbrahim: 10. Sebaliknya, kalau tidak mau punya Presiden Prabowo, dapat mulai dengan tidak memilih Gerindra @fadjroeL"
-1,"iya aku lagi mempromosiakan wkk ""@indracula__: Apa nih kisahnya promosi capres ARB kh haha ""@kirana_nidianti: berani berpikir, berani bermim"
-1,"Wakakak, jgn becanda ahhh. Itu kaya Messi disuruh jd penjaga gawang, kapan bikin gol?  ""@WimpyTwitty  Prabowo  jd Presiden & Jokowi jd Wakil"
-1,"RT @Mico_Ardian: Yg lain bikin masalah, boleh nyalon presiden. Jokowi suruh nyelesaiin masalah dulu baru boleh nyalon presiden. Njenengan s..."
-1,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi cawapres..."
-1,"RT @vicious_punk: @tar_bi Saya bru akn memilih presiden, jk sdh ada calonnya yg mau menghukum mampus koruptor #Selama_ini_belumAda"
-1,"*beberapa hari kemudian* NasDem: Surya Paloh maju sbg Capres. ""@kompascom Soal Capres, Surya Paloh: Partai NasDem Tahu Diri"""
-1,Meuni sedih! =)) RT @harisdarusalam: Karena mereka akan menjadi presiden hanya di sinetron RT @daraqutnie: Kaget ada pasangan capres wiranto
1,"Dahlan presiden,mahfud wkl,ekonomi maju,hukum ditegakkan jd adil n makmur,mantap"
1,"Presiden Jokowi, Wapres Bu Risma, Ketua DPR Ahok,,,, mungkin menjadi formasi yang WAW.... ^^"
-1,Sperti memilih anda jd presiden adl orang yg goblok! RT @farhatabbaslaw: Suatu negara dpt salah memiliki/memilih presiden jk cuma 2 hal saja
-1,"Balon presiden ARB ini iklan kampanye nya kaya ga dr hati,aga2 empet liat muke nye... #twitsadis"
-1,@alankomar_ @tutihand_ emang ada #capres jokowi ya ?
1,@Prabowo08 mohon maaf lahir batin ya pak capres Prabowo yang terhormat..
-1,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi cawapres..."
1,RT @BeritaPKB: 24. Demikian halnya mereka sirik saat PKB melangitkan nama capres Mahfud MD dan Jusuf Kalla.
-1,"Cie cie.. Pas orba ga dapet bagian.. RT @republikaonline: Jika Jadi Presiden, Wiranto Ingin Berantas Politik Dinasti"
1,Capres prabowo paling. Maknyus kata bondan
1,"RT @hm_dermawanzain: 9.@Presiden2014com @mahfud_md2014 berikut nya kita bahas calon presiden ARB,bisa kami tambahkan pak Mahfud bersih dr p"
-1,"Ngelihat iklan capres #ARB lama2 jadi geli juga, dibuat dramatisir biar penonton terharu kali yak ? #Ehhh"
-1,HANURA : HAri taNoe Untuk Ri satU. Emoh presiden wiranto. Muka penjahat.
1,"Landslide :) ""@despar54: SurveiSSS: Capres Jokowi 45,8%, JK 9%, Dahlan 7,5%, Prab 6,8% @Him_NK @krasn4y4 @Mbi_Lung @epiliang @MPI_Community"""
-1,Ahok aja presiden..jokowi ttp gub RT @Herrreza: Apakah saudara2 semua benar2 menginginkan Jokowi maju jadi calon presiden? #survey
1,Deklarasi capres Wiranto-HT tingkatkan keterpilihan Hanura: Deklarasi pasangan calon presiden (Capres) Partai Hanura...
1,"""Presiden : Jokowi, Wakil Presiden : Tri Rismaharini. Gubernur Jakarta : Ahok!"" #IndonesiaBaru"
1,RT @siigiitt_: Mantan Wakil Presiden Jusuf Kalla mengatakan NasDem dan PDIP cocok untuk melakukan koalisi pada Pemilu 2014 mendatang.
-1,Ada iklan capres Prabowo di TvOne wtf
-1,"RT @GigihAnangda: Sepakat pak, cabut aj, cmn klo begitu kayanya g ada yg bakal milih bapak deh @tempodotco: Jika Jadi Presiden, Prabowo Aka"
1,"RT @IeyieyAfriel16: Presiden : Mahfud MD wapres : Dr samsul ""@TrioMacan2000: Pertumbuhan Ekonomi, Kota kediri adalah tertinggi di Jawa Timu "
-1,RT @wahyudiratno: Jebres2.... RT @GusYehia: Capres JK - Rhoma Irama...wah bisa langsung dilamar HTI neh dikasih proposal khilafah :p
-1,"RT @harrypvdio: Ndak mau mikir, ndak mau mikir, ndak mau mikir jadi Capres. @jokowi_do2 jumpalitan ngurus Jakarta."
1,"Stujuuu RT@IeyieyAfriel16: Presiden : Mahfud MD wapres : Dr samsul ""@TrioMacan2000: Pertmbuhn Ekonomi, Kota kediri adalah tertinggi di Jatim"
1,"RT @Jimie_7: kalo @aniesbaswedan jadi presiden , @jokowi_do2 gubernurnya Jkt, @ridwankamil walikotanya bdg,sy rasa kita pantas optimis sama..."
-1,"RT @andrinof_a_ch: Pake metode acak apa nich? Acak-acakan??? @despar54 Lembaga Survey ""INES"": Capres Prabowo unggul 36% dr Jokowi 24%  Cc: ..."
-1,"RT @Tumpalsimare: Ngambil dr situ lah dan apbn tiap tahun @WJB__: Trus hutangmu yang 14 triliun gimana? ""@tempodotco: Jika Jadi Presiden, P"
1,"RT @Jimie_7: kalo @aniesbaswedan jadi presiden , @jokowi_do2 gubernurnya Jkt, @ridwankamil walikotanya bdg,sy rasa kita pantas optimis sama..."
-1,"@PartaiSocmed @andi_hpattera @IriantoKadir sorry, aku ga dukung @jokowi_do2 jadi capres. Jokowi Gubernur DKI aku dukung :)"
1,"Spertinya sy sudah pilihan calon presiden sy nanti di thn 2014-2019 jokowi (presiden), dahlan iskan (wapres). Amin"
-1,RT @datuakrajoangek: Itu realitanya. Tp bukan berarti sy harus setuju dia jadi capres. jokowi janji mau benahi jakarta dalam 5 tahun. Itu j
1,"RT @YanuarWiratmaja: "" Presiden Mahfud Mahmodin , ..Amin @mohmahfudmd: nama ayah saya Mahmodin disingkat jadi MD, terdengar  keren.Sejak it"
1,RT @kafirliberal: Sayah lebih setuju kalo #CaPres @jokowi_do2  Cawapresnya Irsan Noor @KujangSangata
1,JK tak menampik didekati para pimpinan parpol: Nama mantan Wakil Presiden Jusuf Kalla (JK) masih menjadi calon
1,24/09/2013 21:42 Sosok Gubernur Jokowi dan Mantan Wakil Presiden Jusuf Kalla dinyatakan sebagai 2 tokoh terpopuler dalam perbincangan...
1,Terpesona dg kerukunan capres Wiranto ??? HT pda opening Miss World Indonesia 2013.. :)
1,calon presiden dan wakil presiden / surya paloh gandeng yusril bisa perbaiki kondisi negara ini jadi lebih baik.
-1,"Sumpah.. Geli ngeliat iklat capres Arb, hadehh.."
-1,"RT @gm_gm: Alhamdulilah. Orang sibuk kepingin jadi presiden, Jokowi-Ahok sibuk kepingin Jakarta lebih baik."
1,"RT @despar54: Dahlan: Saya yakin Menangi Konvensi, April sy All out kalahkan Capres Jokowi @Re_bonjav @bert_dave @Femilyakarina  @el_massou"
-1,"@farhatabbaslaw  & capres  jk anda trplh jd prsiden mnusia jelmaan DEVIL yg sk prkosa & cabuli kaum hawa d hkum gantung,melecehkan kaum hawa"
1,"Pemilih lebih melihat rekam jejak capres, bukan hasil survei @SahabatMahfud13 RT""@merdekadotcom: Survei capres:Jokowi pertama#Politik"""
1,Begitu juga dengan pemilihan presiden..dahlan iskan dan anies baswedan mrupakan calon presiden yg menarik..dibwhnya ada gita wiryawan
1,HOPE....! Pemimpin yg ideal 2014 M.JUSUF KALLA (PRESIDEN) - JOKOWI (WAPRES)  sy sangat yakin Negeri ini akan bangkit berdiru tegak di dunia
1,"!! RT @bgharianja: Kayaknya seru ya, kalo presiden Jokowi, wapres Dahlan Ishan, gubernur jakarta Ahok, menteri perhubungan Ignasius Jonan."
-1,"RT @jhdofficial: Terlalu lebay, aura capres Mahfud MD mulai pudar: Pemilu Presiden (Pilpres) 2014 diprediksi akan muncul tokoh-tokoh  alter..."
1,"Jokowi presd nya ""@Jimie_7: kalo @aniesbaswedan jadi presiden , @jokowi_do2 gubernurnya Jkt, @ridwankamil walikotanya bdg,sy rasa kita panta"
1,"Iklan/Kampanye Capres ARB pun menyinggung masalah jasa Guru dg slogan ""Negara harus berterima kasih pada guru"" #IlmuGuruSejati"
-1,@Budiencik @TrioMacan2000 @SBYudhoyono @Prabowo08 terus nanti kalo jadi presiden @jokowi_do2 belajar lagi.RAKYAT YG JADI KORBAN BUAT BELAJAR
1,Cuma Capres JOKOWI yg di Ulas NewYork T & Wasington P! Gita W tdk!!  @twet88 @satriopanilih @tannusantara @helmikamaruddin @Kenzopersia
-1,RT @warungsego: Jd kmaren fpi demo ke mnc buat nolak capres wiranto-Hary tanoe. tp itu pasti dg maksud menciptakan simpati org thdp psgn tsb
-1,"Pendidikan dan kesehatan ga termasuk tuh. Tetep aja bodo rakyatnya...""@tempodotco: Jika Jadi Presiden, Prabowo Akan Cabut Subsidi BBM"
1,"RT @Rizaldidas: Usul aja, di pemilu 2014 ada capres JK dengan cawapres Dahlan Iskan dari non partai, pasti kepilih deh."
1,Padahal pengenya Presiden Jusuf Kalla (Talk Less) Wapresnya Jokowi (Do More). cc : @sudjiwotedjo  @fadjroeL
-1,@JokowiCentre Hah? Gak malukah Golkar bikin pernyataan itu? Bahkan ical tidak pantas jadi cawapres mendapingi capres Jokowi. .
1,"Prabowo tidak ngoyo jadi presiden. Prabowo hanya ingin Indonesia merdeka,Indonesia berdikari.#PrabowoPresiden #Gerindra salam #IndonesiaRaya"
1,"RT @ariefbudiawan7: Njeh pak Presiden..:)""@jokowi_do2: Pemimpin harusnya menderita...bukan menikmati."""
1,"RT @Him_NK: Makanya pilih capres JOKOWI @despar54: Negara Koboi @Hasanuddin_: jk perdagangan senjata ilegal tdk diberantas, kita masuk era ..."
-1,"Selain Pahlawan Nasional,dll...sekarang tnyata ada Gelar baru ?i RI....Capres ARB Pahlawan Kehidupan..... ?????????????????? ('-'"
1,Aku calon presiden ARB RT @aLpHyDrughi: Hai kak mexa_apriyadi calon ketua
1,"Presiden, jokowi bisa,tapi bukti pemimpin skrg lah yg bwt kecewa masyarakat,& menemukan sosok yg bsa membuktikan dgn bertahap seperti jokowi"
-1,@JoshuaIgho @SBYudhoyono_RT @RatnaSpaet @SBYudhoyono apalagi kalau yg jadi presiden ARB..tak dpt di bayangkan gmn jadinya negri ini..!!??
-1,"Gamau milih prabowo ah buat capres,prabowo kan ndak ndue titit"
-1,"@dipoalam49 kalau menurut saya, JK tidak cocok jadi Presiden, JK lebih bagus di PMI saja."
1,Iklan Ketua MUI promosikan Capres Mahfud MD! Label Halal @Re_bonjav @IniBang_Is  @michico_ayano @sakezya99 @KodratArief @herilatief
1,"LHI mentri agama ("",) @Ricky_Nov1978: Jokowi presiden, prabowo wapres, ahok gub dki, sby ketua mpr, mega ketua dpr"
1,24/09/2013 21:42 Sosok Gubernur Jokowi dan Mantan Wakil Presiden Jusuf Kalla dinyatakan sebagai 2 tokoh terpopuler dalam perbincangan...
1,"RT @mamipopz: ideal ! @7U54N: Presiden : Jokowi, Wapres: Dahlan Iskan ,MenHan: Serda Ucok , Mendagri: Ahok . #Kabinetidaman"
1,5. jadi capres  (Jokowi) maupun DPD bisa menggunakan cara tersebut untuk mendapatkan FotoCopy KTP dukungan @TrioMacan2000
-1,"RT @Tree_macan2000: @SBYudhoyono @basuki_btp orang2 pada semanget betul dukung jokowi capres,jokowi emoh,emoh opo pura2 emoh..?"
1,"@fadjroeL ;2014 Bang Fajrul presiden,Jokowi wakilnya.Bgmn bu mega?"
1,"@zarryhendrik Presiden: Jokowi, Wakil Presiden: Mahfud MD. Maybe Ahok jadi Menteri Agama-nya. :D"
1,"RT @ulinyusron: Kalau Jawa Tengah bisa melahirkan capres Jokowi, nah dari Jawa Timur digorenglah Ibu Walkot utk jadi cawapres penculik :))"
1,Orang sibuk gapernah dtg lg bang wkwk--->@onggilimbong Faktor2 kemenangan (presiden) jokowi 2014 #studikasus :D
-1,"Capres #wiranto nyamar jd tukang becak di #rcti, senang juga ngeliatnya.."
-1,@farhatabbaslaw kalo jadi presiden jokowi tetep jadi gubernur Jakarta ga?
-1,"Mega:Memajukan/kawal Reformasi,SBY: Reformasi lebih Indonesianis,capres Prabowo-JK:negosiator.Prestasi jokohok?:OMONG KOSONG! @TrioMacan2000"
1,@jokowi_do2 @Jokowi_RI @Jokowi2014 @Jokowi_Presiden #jokowi siapa lg yg mau gabung untuk jadi Tim Sukses Gratis jokowi for RI-1 2014 RT
-1,"RT @putriwulan999: 10. Knpa jokowi layak capres ? Karena kalau terpilih jadi presiden, jokowi adalah presiden penipu pertama yg hobi blusuk"
-1,RT @_andri69: @JoshuaIgho @SBYudhoyono_RT @RatnaSpaet @SBYudhoyono apalagi kalau yg jadi presiden ARB..tak dpt di bayangkan gmn jadinya neg
1,RT @Nurcholis10: Capres @jokowi_do2. & Cawapres @mohmahfudmd. Gimana bung @fadjroeL.
1,J Kalla:Dukungan rakyat kpd Capres Jokowi BAGAI Tsunami @FemyliaKarina @Qadarrusli14 @soenarto_bre @APjanic_15 @RedRibon_id @rini_atmowiyoto
-1,Omdo RT @despar54 Capres Dahlan Isk: Visi saya Ekonomi Negara RI 10 Besar DiDunia
-1,Hasil Akhir Jadi PECUNDANG @despar54  Capres Hatta R paling top @joni_arlo @SistaAgni @dedenbasuki @abelcolection @Mbi_Lung @tannusantara
-1,"RT @jo_pardomuan: Jangan pilih penculik! ""@ulinyusron: Kalau Jawa Tengah bisa melahirkan capres Jokowi, nah dari Jawa Timur digorenglah Ibu"
-1,@Migatama @fadjroeL @ridwankamil @nasazwar @abd_khusairi amit2 punya gubernur dan presiden Jokowi.heran msh byk yg ketipu
-1,"Yg lain bikin masalah, boleh nyalon presiden. Jokowi suruh nyelesaiin masalah dulu baru boleh nyalon presiden. Njenengan sehat pak?"
1,Senin pagi. Nggak lupa baca artikel bapak presiden DAHLAN ISKAN.
-1,"Ditolak JK & Mahfud, Konvensi Demokrat ""habis"": Penolakan mantan Wakil Presiden Jusuf Kalla (JK) mengikuti konvensi "
1,Cak Imin: Mahfud dan Rhoma punya peluang sama sebagai capres: Mahfud dan Rhoma harus giat menyapa masyarakat dan membuktikan kalau me...
1,"RT @fadhlun10: Capres Jokowi, cawapres dahlan iskan (y) joss ki"
1,"RT @TuitMedan: #TuitMedan Ditanya soal Capres, Jokowi: Siap! #Medan #Tuit"
-1,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi cawapres..."
1,Solusi pemulihan ekonomi Indonesia adalah tahun depan Aburizal Bakrie menjadi presiden . ARB for president
1,"Jika jadi presiden JOKOWI bisa mngubah Blusukan mnjadi Menyamar Tukang bejak, tukang bubur ayam, dll, biar bisa denger keluhan rakyt itu apa"
1,Presiden Jokowi dan wapres artidjo alkautsar adalah pasangan ideal menyongsong indonesia baru dan direstui seluruh rakyat ind #jujurituhebat
1,"Belum pemilu, tp yg dpastikan jd Presiden Prabowo"
-1,"@RelawanMahfudMD Jujur aja, sy pribadi simpati Jokowi,tp unk jd presiden Jokowi blm teruji.Gubernur aja msh sprti ini."
1,"Wapres spa? ""@ass_suryadi: Presiden Jokowi dan wapres artidjo alkautsar adalah pasangan ideal menyongsong indonesia #jujurituhebat"""
1,"Survei Kompas: Jika Jokowi Tak Jadi Capres, Prabowo dan Ical yang Untung"
-1,"Siapkn RS Jiwa ""@despar54: Capres Dahlan Iskan Rilis Film ""Spatu skets  @KodratArief  @blade_repsol @Yettidewi @BobbyEndhut @IniBang_Is"""
1,"Trs jd apa?jd mayat? ""@OxthamarzanTyo_: Gue yakin 100% Thun 2014 @SBYudhoyono nggk akn jdi Presiden lagi. Yng jdi presiden PRABOWO / JOKOWI"
1,"RT @Soehendri80: @sammyfish13 @Caleg_Bersih @jokowi_do2 @AmorBeracun @andrinof_a_ch Ri1=Rakyat , Ri2=Presiden Jokowi dodo"
1,"Pemilu adl tugas Presiden,jk DPT Buram, lbihbaik digunakn u/  Impeachment, SlamatkanRI @Prabowo08 @Yusrilihza_Mhd @MPI_Community @kompascom"
-1,RT @NilafaelVidies: om @farhatabbaslaw gk ada niatan bwt ke banyuwangi gt ??? Capres ARB uda ke bwi lhoo . Masakkk om belom :D
1,"4. Saat ingin menjadi capres, ARB menerangkan motif yang melatar belakanginya kepada ibunda."
-1,"Wartawan Bule Tanya soal Capres, Jokowi Jawab Enggak ""Mikir"""
1,"Supir taxy blue bird bilang, akn pilih Prabowo klau Jokowi tdk jdi calon Presiden. @jokowi_do2 tetap pilihan rakyat."
1,"@fajarkurnianto @ahlaaulia dengan jadi presiden, @jokowi_do2 pasti banget bisa membenahi jakarta, no doubt at all"
1,@ahok_btp. Bila perlu next presiden jokowi-ahok aja. ViscaBarca...Famous jokowi-ahok
-1,RT @AnisyaUlfa: Saya gak setujuh kalo jokowi dicalonin jd presiden! Dia aja blm slsai ngerjain kota jakarta eh mlh disrh jd presiden! Dahla...
1,Klw bukan Jokowi siapa yg pantas mnjadi Presiden? Wiranto atau ARB? Atau ada figur bersih lain Can @TrioMacan2000
1,"RT @Jimie_7: kalo @aniesbaswedan jadi presiden , @jokowi_do2 gubernurnya Jkt, @ridwankamil walikotanya bdg,sy rasa kita pantas optimis sama..."
1,"Lagi musim pake for..for..for.., | BBM For Android | Jokowi For Presiden | Jokowi For Android *digetok Jasmev"
-1,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi cawapres..."
-1,"RT @giovanoku: #presidenRI sekarang kurang bermutu. #Presiden kok #memble. 10 tahun terlalu lama utk #presidenSBY, gak sabar ingin punya #p..."
